SampleRate_Before,SampleRate_After,SamplesPerSymbol,CarrierFrequency,BitRate,MessageLength,Message,MessageBits
,,,,,,,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
294083.06,294247.47,2941,2000,100,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
294334.06,294230.16,2943,4000,100,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
294308.09,294334.06,2943,6000,100,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
294360.06,294351.38,2944,8000,100,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
294351.38,294334.06,1472,2000,200,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
294377.41,294351.38,1472,4000,200,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
294420.75,294446.72,1472,6000,200,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
294464.09,294455.38,1472,8000,200,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
294438.06,294472.75,981,2000,300,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
294412.06,294429.38,981,4000,300,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
294368.72,294446.72,981,6000,300,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
294368.72,294446.72,981,8000,300,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
294360.06,294429.38,736,2000,400,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
294368.72,294420.75,736,4000,400,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
294282.09,294308.09,736,6000,400,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
294386.06,294273.44,736,8000,400,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
294316.75,294247.47,589,2000,500,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
294256.09,294334.06,589,4000,500,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
294308.09,294299.44,589,6000,500,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
294308.09,294212.81,589,8000,500,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
