ID;Bitrate;Carrier Frequency;Original Message;Decoded Message;Hamming Distance;Hamming Encoding;;Avg. For 400 bitrate with Hamming;Avg. For 400 bitrate without Hamming;Avg. For 200 bitrate with hamming;Avg. For 200 bitrate without hamming
0;400;6000;Hello_there;Hun>?_txezu;10;FALSE;;0;3,933333333;0;0
1;400;6000;Hello_there;Hello_there;0;FALSE;;Hamming possible[%];Hamming possible[%];Hamming possible[%];Hamming possible[% ]
2;400;6000;Hello_there;Hello_there;0;FALSE;;25;75;85;90
3;400;6000;Hello_there;Hu~>?_txuru;11;FALSE;;;;;
4;400;6000;Hello_there;Hello_there;0;FALSE;;;;;
5;400;6000;Hello_there;Hello_there;0;FALSE;;;;;
6;400;6000;Hello_there;H7~>?_x5zw;;FALSE;;;;;
7;400;6000;Hello_there;Hello_there;0;FALSE;;;;;
8;400;6000;Hello_there;Hello_there;0;FALSE;;;;;
9;400;6000;Hello_there;He||_xere;;FALSE;;;;;
10;400;6000;Hello_there;Hello_there;0;FALSE;;;;;
11;400;6000;Hello_there;Hello_there;0;FALSE;;;;;
12;400;6000;Hello_there;Hel|_|xere;;FALSE;;;;;
13;400;6000;Hello_there;Hello_there;0;FALSE;;;;;
14;400;6000;Hello_there;7~>?_|86yva;36;FALSE;;;;;
15;400;6000;Hello_there;\~z;;FALSE;;;;;
16;400;6000;Hello_there;Hello_theru;1;FALSE;;;;;
17;400;6000;Hello_there;Hello_there;0;FALSE;;;;;
18;400;6000;Hello_there;Hello_theru;1;FALSE;;;;;
19;400;6000;Hello_there;Hel|_|xere;;FALSE;;;;;
0;400;6000;Hello_there;Hello_thee;;TRUE;;;;;
1;400;6000;Hello_there;o\M.;;TRUE;;;;;
2;400;6000;Hello_there;Hello_thee;;TRUE;;;;;
3;400;6000;Hello_there;qXelm;;TRUE;;;;;
4;400;6000;Hello_there;Hello_there;0;TRUE;;;;;
5;400;6000;Hello_there;Hello_there;0;TRUE;;;;;
6;400;6000;Hello_there;Hello_thee;;TRUE;;;;;
7;400;6000;Hello_there;q8;;TRUE;;;;;
8;400;6000;Hello_there;Helltxere;;TRUE;;;;;
9;400;6000;Hello_there;Hello_thee;;TRUE;;;;;
10;400;6000;Hello_there;Xlm|xe;;TRUE;;;;;
11;400;6000;Hello_there;lunn_txue;;TRUE;;;;;
12;400;6000;Hello_there;Hello_there;0;TRUE;;;;;
13;400;6000;Hello_there;Hellothere;;TRUE;;;;;
14;400;6000;Hello_there;Hello_there;0;TRUE;;;;;
15;400;6000;Hello_there;Helmtxere;;TRUE;;;;;
16;400;6000;Hello_there;ls>>;;TRUE;;;;;
17;400;6000;Hello_there;Hello_there;0;TRUE;;;;;
18;400;6000;Hello_there;Xlm;;TRUE;;;;;
19;400;6000;Hello_there;X[;;TRUE;;;;;
0;200;6000;Hello_there;Hello_there;0;TRUE;;;;;
1;200;6000;Hello_there;Hello_there;0;TRUE;;;;;
2;200;6000;Hello_there;Hello_there;0;TRUE;;;;;
3;200;6000;Hello_there;Hello_there;0;TRUE;;;;;
4;200;6000;Hello_there;Hello_there;0;TRUE;;;;;
5;200;6000;Hello_there;Hello_there;0;TRUE;;;;;
6;200;6000;Hello_there;Hello_there;0;TRUE;;;;;
7;200;6000;Hello_there;s$;;TRUE;;;;;
8;200;6000;Hello_there;Hello_there;0;TRUE;;;;;
9;200;6000;Hello_there;Hello_there;0;TRUE;;;;;
10;200;6000;Hello_there;Hello_there;0;TRUE;;;;;
11;200;6000;Hello_there;Hello_there;0;TRUE;;;;;
12;200;6000;Hello_there;Hello_there;0;TRUE;;;;;
13;200;6000;Hello_there;Hello_there;0;TRUE;;;;;
14;200;6000;Hello_there;Hello_there;0;TRUE;;;;;
15;200;6000;Hello_there;Hello_there;0;TRUE;;;;;
16;200;6000;Hello_there;Hgllxgse;;TRUE;;;;;
17;200;6000;Hello_there;No preamble found;;TRUE;;;;;
18;200;6000;Hello_there;Hello_there;0;TRUE;;;;;
19;200;6000;Hello_there;Hello_there;0;TRUE;;;;;
0;200;6000;Hello_there;Hello_there;0;FALSE;;;;;
1;200;6000;Hello_there;Hello_there;0;FALSE;;;;;
2;200;6000;Hello_there;Hello_there;0;FALSE;;;;;
3;200;6000;Hello_there;Hello_there;0;FALSE;;;;;
4;200;6000;Hello_there;Hello_there;0;FALSE;;;;;
5;200;6000;Hello_there;"(#q""!a!:yY";;FALSE;;;;;
6;200;6000;Hello_there;Hello_there;0;FALSE;;;;;
7;200;6000;Hello_there;Hello_there;0;FALSE;;;;;
8;200;6000;Hello_there;Hello_there;0;FALSE;;;;;
9;200;6000;Hello_there;Hello_there;0;FALSE;;;;;
10;200;6000;Hello_there;Hello_there;0;FALSE;;;;;
11;200;6000;Hello_there;h%l,/t,!c;;FALSE;;;;;
12;200;6000;Hello_there;Hello_there;0;FALSE;;;;;
13;200;6000;Hello_there;Hello_there;0;FALSE;;;;;
14;200;6000;Hello_there;Hello_there;0;FALSE;;;;;
15;200;6000;Hello_there;Hello_there;0;FALSE;;;;;
16;200;6000;Hello_there;Hello_there;0;FALSE;;;;;
17;200;6000;Hello_there;Hello_there;0;FALSE;;;;;
18;200;6000;Hello_there;Hello_there;0;FALSE;;;;;
19;200;6000;Hello_there;Hello_there;0;FALSE;;;;;
