ID,Bitrate,Carrier Frequency,Original Message,Decoded without bandpass,Hamming Dist without bnadpass,Decoded with bandpass,Hamming Dist with bandpass,Encoding
0,500,6000,Hello_there,,,,,Hamming Encoding
1,500,6000,Hello_there,,,,,Hamming Encoding
0,500,6000,Hello_there,,50,pp0,45,Hamming Encoding
1,500,6000,Hello_there,,,,,Hamming Encoding
0,500,6000,Hello_there,,49,!\`,48,Hamming Encoding
1,500,6000,Hello_there,,,,,Hamming Encoding
0,500,6000,Hello_there,,49,bRwb,48,Hamming Encoding
0,500,6000,Hello_there,N1nn]^l1r5,22,d,49,Hamming Encoding
1,500,6000,Hello_there,Hllo_VHr1,16,o\E,49,Hamming Encoding
2,500,6000,Hello_there,"%,( x",27,w8.\],45,Hamming Encoding
3,500,6000,Hello_there,Hello_there,0,Hello_there,0,Hamming Encoding
4,500,6000,Hello_there,8n,49,Kn,50,Hamming Encoding
5,500,6000,Hello_there,Hello_there,0,Hello_there,0,Hamming Encoding
6,500,6000,Hello_there,Hello_there,0,\%nxE,26,Hamming Encoding
7,500,6000,Hello_there,00A,40,0],41,Hamming Encoding
8,500,6000,Hello_there,H@llothArU,8,I8\SxE,32,Hamming Encoding
9,500,6000,Hello_there,Hello_there,0,Hpln2@PF,24,Hamming Encoding
10,500,6000,Hello_there,Hello_there,0, 8xd,34,Hamming Encoding
0,500,6000,Hello_there,Hello_there,,Hello_there,,Hamming Encoding
0,500,6000,Hello_there,Hello_there,,Hello_there,,Hamming Encoding
1,500,6000,Hello_there,Hello_there,,Hello_there,,Hamming Encoding
2,500,6000,Hello_there,ello_there,,Hello_there,,Hamming Encoding
3,500,6000,Hello_there,Hpllo_thcre,, ,,Hamming Encoding
4,500,6000,Hello_there,mmo_tHr,,mmo_tHr,,Hamming Encoding
5,500,6000,Hello_there,8P,,,,Hamming Encoding
6,500,6000,Hello_there,d,,,,Hamming Encoding
7,500,6000,Hello_there,,,2[TG,,Hamming Encoding
8,500,6000,Hello_there,F'ckD,,E%,,Hamming Encoding
9,500,6000,Hello_there,,,,,Hamming Encoding
10,500,6000,Hello_there,#x,,R,,Hamming Encoding
11,500,6000,Hello_there,,,,,Hamming Encoding
12,500,6000,Hello_there,88n,,8n,,Hamming Encoding
13,500,6000,Hello_there,88L,,88L,,Hamming Encoding
14,500,6000,Hello_there,I%%fW|(x`,,,,Hamming Encoding
15,500,6000,Hello_there,,,8~8n,,Hamming Encoding
16,500,6000,Hello_there,Hplo_|hce,,8n,,Hamming Encoding
17,500,6000,Hello_there,hcclp66,,8n,,Hamming Encoding
18,500,6000,Hello_there,8n,,8n,,Hamming Encoding
19,500,6000,Hello_there,8~n,,8~n,,Hamming Encoding
20,500,6000,Hello_there,88n,,88n,,Hamming Encoding
21,500,6000,Hello_there,Hpllo_thcre,,88n,,Hamming Encoding
22,500,6000,Hello_there,8L,,88L,,Hamming Encoding
23,500,6000,Hello_there,L,,8L,,Hamming Encoding
24,500,6000,Hello_there,Hplloo|hcre,,8n(,,Hamming Encoding
25,500,6000,Hello_there,8n,,8n(,,Hamming Encoding
26,500,6000,Hello_there,KLLn,,KkLLn,,Hamming Encoding
27,500,6000,Hello_there,vqf1L,,X4T,,Hamming Encoding
28,500,6000,Hello_there,+TTM*,,ATM,,Hamming Encoding
29,500,6000,Hello_there,8n,,88In,,Hamming Encoding
30,500,6000,Hello_there,Hello_there,,Hello_there,,Hamming Encoding
31,500,6000,Hello_there,Hello_there,,Hello_there,,Hamming Encoding
32,500,6000,Hello_there,I],,;],,Hamming Encoding
33,500,6000,Hello_there,Hello_there,,KNLn,,Hamming Encoding
34,500,6000,Hello_there,Hello_there,,Hello_there,,Hamming Encoding
35,500,6000,Hello_there,],,Hello_|here,,Hamming Encoding
36,500,6000,Hello_there,cllo_tHcre,,Ln,,Hamming Encoding
37,500,6000,Hello_there,8,,HclIo_|ce,,Hamming Encoding
38,500,6000,Hello_there,,,,,Hamming Encoding
39,500,6000,Hello_there,H@lloo|here,,n,,Hamming Encoding
40,500,6000,Hello_there,68,,HUHe,,Hamming Encoding
41,500,6000,Hello_there,Hmmo_tHr,,;=78,,Hamming Encoding
42,500,6000,Hello_there,,,{,,Hamming Encoding
43,500,6000,Hello_there,,,,,Hamming Encoding
44,500,6000,Hello_there,,,,,Hamming Encoding
45,500,6000,Hello_there,Hello_there,,Hello_there,,Hamming Encoding
46,500,6000,Hello_there,Hello_there,,Hello_there,,Hamming Encoding
47,500,6000,Hello_there,HlkLh@,,KNLn,,Hamming Encoding
0,500,6000,Hello_there,Hello_there,,Hello_there,,Hamming Encoding
0,500,6000,Hello_there,Hello_there,,Hello_there,,Hamming Encoding
0,500,6000,Hello_there,Hello_there,,Hello_there,,Hamming Encoding
0,500,6000,Hello_there,Hello_there,,Hello_there,,Hamming Encoding
1,500,6000,Hello_there,Hello_there,,Hello_there,,Hamming Encoding
0,100,6000,Hello_there,,,,,Hamming Encoding
0,100,6000,Hello_there,Hello_therh,,Hello_therh,,Hamming Encoding
1,100,6000,Hello_there,Hello_therh,,Hello_therh,,Hamming Encoding
0,100,6000,Hello_there,Hello_therh,,Hello_therh,,Hamming Encoding
0,200,6000,Hello_there,J*21;T2,,Tebbw_teJ,,Hamming Encoding
1,200,6000,Hello_there,tF~,,Hfllo_theh,,Hamming Encoding
2,200,6000,Hello_there,X@CxX,,Hello_therh,,Hamming Encoding
3,200,6000,Hello_there,Hello_therh,,Hello_therh,,Hamming Encoding
4,200,6000,Hello_there,Pello_thir,,>RRQRIP,,Hamming Encoding
5,200,6000,Hello_there,KK>EKVI)EF,,T$,,Hamming Encoding
6,200,6000,Hello_there,Hello_therh,,Hello_therh,,Hamming Encoding
0,300,6000,Hello_there,Hello_therh,,Hello_therh,,Hamming Encoding
0,400,6000,Hello_there,H)4,,T ,,Hamming Encoding
0,400,6000,Hello_there,Hello_therh,,tXDGxX,,Hamming Encoding
1,400,6000,Hello_there,"bd""z",,":b"":|",,Hamming Encoding
2,400,6000,Hello_there,g,,g,,Hamming Encoding
3,400,6000,Hello_there,,,E,,Hamming Encoding
4,400,6000,Hello_there,Hello_thet,,Tlo/x4|,,Hamming Encoding
5,400,6000,Hello_there,j7(GxX,,Tlo/x4|,,Hamming Encoding
6,400,6000,Hello_there,":b"":|",,Tlo/x4|,,Hamming Encoding
7,400,6000,Hello_there,u,,u,,Hamming Encoding
8,400,6000,Hello_there,u,,@,,Hamming Encoding
9,400,6000,Hello_there,uv,,$,,Hamming Encoding
10,400,6000,Hello_there,,,,,Hamming Encoding
11,400,6000,Hello_there,Hflhthht,,Hhloothkh,,Hamming Encoding
12,400,6000,Hello_there,Hflhthhrh,,2u-v,,Hamming Encoding
13,400,6000,Hello_there,t@y8,,tB8,,Hamming Encoding
14,400,6000,Hello_there,,,,,Hamming Encoding
15,400,6000,Hello_there,Helloyerh,,Helloherh,,Hamming Encoding
16,400,6000,Hello_there,2,,"!""",,Hamming Encoding
17,400,6000,Hello_there,Hf?yrh,,Hf4?h,,Hamming Encoding
18,400,6000,Hello_there,,,,,Hamming Encoding
19,400,6000,Hello_there,6u8,,0r[>,,Hamming Encoding
20,400,6000,Hello_there,Hello_therd,,D)F,,Hamming Encoding
21,400,6000,Hello_there,":b"":|",,Tlox:|,,Hamming Encoding
22,400,6000,Hello_there,Hello_therh,,RnPj,,Hamming Encoding
23,400,6000,Hello_there,Pello_thirh,,2-,,Hamming Encoding
24,400,6000,Hello_there,"""n>>=",,-,,Hamming Encoding
25,400,6000,Hello_there,"bea""z",,Telloothk,,Hamming Encoding
26,400,6000,Hello_there,IM,,Tlo|,,Hamming Encoding
27,400,6000,Hello_there,Hello_thirh,,Hello_thirh,,Hamming Encoding
28,400,6000,Hello_there,jAV&,,Tlo|,,Hamming Encoding
29,400,6000,Hello_there,r,,5-,,Hamming Encoding
0,500,6000,Hello_there,Hello_therh,,Hello_therd,,Hamming Encoding
1,500,6000,Hello_there,Hello_therh,,Hello_thet,,Hamming Encoding
2,500,6000,Hello_there,Hello_therh,,Hello_therh,,Hamming Encoding
3,500,6000,Hello_there,Hello_therh,,Hello_therd,,Hamming Encoding
4,500,6000,Hello_there,Hello_therh,,Hello_therd,,Hamming Encoding
0,500,6000,Hello_there,,,D,,Hamming Encoding
1,500,6000,Hello_there,Hello_therh,,Hello_therh,,Hamming Encoding
2,500,6000,Hello_there,@A,,Hello_her,,Hamming Encoding
0,500,6000,Hello_there,Hdllo_thdre,,Hello_there,,Hamming Encoding
1,500,6000,Hello_there,Hdllo_thdre,,Hello_there,,Hamming Encoding
2,500,6000,Hello_there,Hello_there,,Helloheze,,Hamming Encoding
0,500,6000,Hello_there,Hdllo_thdre,,Hello_there,,Hamming Encoding
0,500,6000,Hello_there,Hdllo_thdre,,Hello_there,,Hamming Encoding
0,500,6000,Hello_there,Hello_there,0,Hello_there,0,Hamming Encoding
1,500,6000,Hello_there,HDlLO_thDrE,7,HElLO_HErE,8,Hamming Encoding
0,500,6000,Hello_there,!],51,80D,42,Hamming Encoding
0,500,6000,Hello_there,D,51,D)F,51,Hamming Encoding
1,500,6000,Hello_there,Hellotherh,5,Pello_thet,9,Hamming Encoding
2,500,6000,Hello_there,Hello_therh,3,Hello_therh,3,Hamming Encoding
3,500,6000,Hello_there,Hello_therh,3,Hello_therh,3,Hamming Encoding
4,500,6000,Hello_there,z@A,49,GGAY$,44,Hamming Encoding
0,500,6000,Hello_there_,,46,/8,56,Hamming Encoding
1,500,6000,Hello_there_,Hello_here_,2,Pello_there_,2,Hamming Encoding
2,500,6000,Hello_there_,Hello_there_,0,Hello_there_,0,Hamming Encoding
3,500,6000,Hello_there_,Hello_there_,0,Hello_there_,0,Hamming Encoding
4,500,6000,Hello_there_,Hello_there_,0,Hello_there_,0,Hamming Encoding
5,500,6000,Hello_there_,Hello_there_,0,Hello_there_,0,Hamming Encoding
0,400,6000,Hello_there_,,56,<o0h,49,Hamming Encoding
1,400,6000,Hello_there_,Hello_there_,0,t7(GxX,43,Hamming Encoding
2,400,6000,Hello_there_,2,57,<o0h,53,Hamming Encoding
3,400,6000,Hello_there_,Hello_there_,0,j7(GxX,43,Hamming Encoding
4,400,6000,Hello_there_,Hillo_thirh,10,Pillo_thh,19,Hamming Encoding
5,400,6000,Hello_there_,Hello_there_,0,t7(GxX,44,Hamming Encoding
6,400,6000,Hello_there_,Hello_there_,0,2v,54,Hamming Encoding
0,500,6000,Hello_there_,Hello_there_,0,Tello_there_,3,Hamming Encoding
1,500,6000,Hello_there_,Hello_there_,0,Hello_there_,0,Hamming Encoding
2,500,6000,Hello_there_,Hello_there_,0,Hello_there_,0,Hamming Encoding
0,500,6000,Hello_there,,,,,Hamming Encoding
